Time,sensorLL,sensorCL,sensorCR,sensorRR,motorL,motorR
10245.0,33.0,32.0,33.0,32.0,100.0,0.0
10287.0,33.0,32.0,33.0,32.0,100.0,0.0
10328.0,33.0,32.0,33.0,32.0,100.0,0.0
10370.0,33.0,32.0,33.0,49.0,100.0,0.0
10412.0,33.0,32.0,34.0,157.0,100.0,0.0
10454.0,32.0,32.0,55.0,34.0,0.0,100.0
10496.0,33.0,38.0,98.0,32.0,90.0,30.0
10538.0,33.0,46.0,37.0,32.0,0.0,100.0
10579.0,37.0,46.0,33.0,32.0,30.0,90.0
10621.0,46.0,40.0,33.0,32.0,0.0,100.0
10662.0,49.0,36.0,32.0,32.0,0.0,100.0
10704.0,44.0,39.0,33.0,31.0,0.0,100.0
10746.0,35.0,44.0,33.0,32.0,100.0,0.0
10787.0,33.0,44.0,34.0,32.0,30.0,90.0
10829.0,33.0,45.0,35.0,32.0,30.0,90.0
10871.0,33.0,44.0,35.0,32.0,30.0,90.0
10912.0,33.0,41.0,47.0,32.0,100.0,10.0
10955.0,33.0,33.0,86.0,32.0,100.0,0.0
10996.0,33.0,34.0,138.0,33.0,90.0,30.0
11039.0,33.0,34.0,99.0,31.0,90.0,30.0
11081.0,33.0,38.0,59.0,32.0,90.0,30.0
11122.0,33.0,43.0,39.0,32.0,0.0,100.0
11164.0,33.0,46.0,35.0,31.0,30.0,90.0
11206.0,33.0,42.0,36.0,32.0,30.0,90.0
11247.0,33.0,43.0,43.0,32.0,100.0,10.0
11290.0,33.0,40.0,62.0,33.0,100.0,0.0
11331.0,34.0,45.0,41.0,32.0,10.0,100.0
11374.0,33.0,45.0,36.0,32.0,0.0,100.0
11416.0,33.0,43.0,39.0,32.0,30.0,90.0
11457.0,33.0,36.0,70.0,32.0,100.0,0.0
11499.0,33.0,34.0,108.0,32.0,90.0,30.0
11542.0,33.0,43.0,40.0,32.0,0.0,100.0
11583.0,35.0,46.0,34.0,32.0,30.0,90.0
11625.0,39.0,46.0,34.0,32.0,30.0,90.0
11666.0,60.0,40.0,33.0,32.0,0.0,100.0
11708.0,60.0,34.0,33.0,31.0,0.0,100.0
11750.0,55.0,33.0,33.0,32.0,0.0,100.0
